material_id,name,model,category,access_level,total_quantity,available_quantity,location,description
A-017,Arduino Uno 开发板,Uno R3,开发板,advanced,5,5,201室 A柜,入门首选单片机开发板，适合绝大多数创意原型项目。
A-018,STM32F103C8T6 最小系统板,STM32F103C8T6,开发板,advanced,8,8,201室 A柜,电赛主力芯片，性能强，需配合 ST-Link 烧录器使用。
A-019,51 单片机学习板,STC89C52RC,开发板,advanced,10,10,201室 A柜,微机原理课程经典教学板，板载外设齐全适合打基础。
A-023,ESP32-S3 开发板,ESP32-S3-DevKitC-1,开发板,advanced,4,4,201室 A柜,带 WiFi 和蓝牙的物联网开发板，适合做联网项目。
A-024,Raspberry Pi 4B 开发板,4B 4GB,开发板,advanced,2,2,201室 A柜,卡片电脑，适合视觉、AI、网关类项目。
A-025,Raspberry Pi Pico 开发板,RP2040,开发板,advanced,6,6,201室 A柜,双核微控制器，支持 MicroPython，便宜耐造。
S-003,DHT22 温湿度传感器,DHT22 / AM2302,传感器,basic,10,10,201室 B柜,数字温湿度传感器，单总线通信，注意数据脚需上拉。
S-007,土壤湿度传感器,HL-69,传感器,basic,6,6,201室 B柜,检测土壤含水量的模拟量传感器，自动浇花项目核心件。
S-009,红外循迹传感器,TCRT5000,传感器,basic,8,8,201室 B柜,反射式红外光电传感器，循迹小车标配。
M-011,L298N 电机驱动模块,L298N 双H桥,驱动模块,advanced,4,4,201室 A柜,直流电机/步进电机驱动，逻辑电源与电机电源需分开供电。
M-013,单路继电器模块,5V 光耦隔离,驱动模块,basic,6,6,201室 A柜,用小电流控制大电流回路，水泵、灯带开关常用。
T-005,电烙铁套装,60W 可调温,工具,advanced,3,3,203室 工具墙,焊接元器件必备，高温工具，首次借用需安全确认。
H-001,面包板+杜邦线套装,830孔+65根线,耗材,basic,15,15,201室 C柜,免焊接搭电路的基础耗材组合。
E-001,5V 微型水泵,DC 3-6V 潜水泵,设备,basic,3,3,201室 C柜,自动浇花、水冷小项目用的微型潜水泵，需配合继电器驱动。
E-002,热风枪焊台,858D,设备,professional,1,1,203室 焊台区,拆焊贴片元件的专业设备，需教师审批后使用。
